NOM_REG,NOM_PROV,NOM_COM,SHAPE_LENG,DIS_ELEC,CIR_SENA,COD_COMUNA,SHAPE_Le_1,SHAPE_Area,id
Región del Maule,Talca,San Rafael,98722.39941,38,10,7110,98722.39975,264369632.8,1
Región del Maule,Talca,Talca,87180.82859,37,10,7101,87180.8285,231839711.9,1
Región Metropolitana de Santiago,Chacabuco,Colina,172581.4475,16,7,1330,172775.2,969694064.7,1
Región Metropolitana de Santiago,Chacabuco,Lampa,105302.2716,16,7,1330,105148.7635,449554864.3,1
Región Metropolitana de Santiago,Chacabuco,Tiltil,133827.2654,16,7,1330,133827.2651,653161508.7,1
Región Metropolitana de Santiago,Cordillera,Pirque,103841.8265,29,8,1320,103841.8264,444732571.3,1
Región Metropolitana de Santiago,Cordillera,Puente Alto,48961.65484,29,8,1320,48986.34728,87831935.19,1
Región Metropolitana de Santiago,Cordillera,San José de Maipo,483095.2029,29,8,1320,483095.2035,4982399894,1
Región Metropolitana de Santiago,Maipo,Buin,89486.54235,30,7,1340,89486.54247,218848904.2,1
Región Metropolitana de Santiago,Maipo,Paine,164101.564,30,7,1340,164101.5642,676393007.7,1
Región Metropolitana de Santiago,Maipo,San Bernardo,86349.61152,30,7,1340,86456.6036,154007610.2,1
Región Metropolitana de Santiago,Melipilla,Alhué,154307.5944,31,7,1350,154307.5942,843611368.3,1
Región Metropolitana de Santiago,Melipilla,Curacaví,153945.2574,31,7,1350,153945.2573,694984444.4,1
Región de Los Ríos,Ranco,La Unión,364280.016,54,16,1420,364280.0164,2145040524,1
Región de Los Ríos,Ranco,Lago Ranco,286712.1687,54,16,1420,286712.1686,1765500940,1
Región de Los Ríos,Valdivia,Lanco,152128.4286,53,16,1410,152128.4286,532442404.8,1
Región de Los Ríos,Valdivia,Los Lagos,316586.2338,54,16,1410,316586.2344,1792211584,1
Región de Los Ríos,Valdivia,Máfil,181074.0224,53,16,1410,181074.0232,579902287.6,1
Región de Los Ríos,Valdivia,Mariquina,368604.5125,53,16,1410,368604.5138,1299844545,1
Región de Los Ríos,Ranco,Paillaco,209143.4674,54,16,1410,209143.4679,902736225.6,1
Región de Los Ríos,Valdivia,Panguipulli,360175.4394,54,16,1410,360175.44,3290625041,1
Región de Los Ríos,Ranco,Río Bueno,338916.2946,54,16,1420,338916.294,2177691095,1
Región de Los Ríos,Valdivia,Valdivia,439830.4462,53,16,1410,439830.4463,953845412.6,1
Región de Magallanes y Antártica Chilena,Magallanes,Laguna Blanca,372009.3899,60,19,1210,315080.2252,3506070826,1
Región de Magallanes y Antártica Chilena,Magallanes,San Gregorio,632960.1002,60,19,1210,579894.5157,6667485063,1
Zona sin demarcar,Zona sin demarcar,Zona sin demarcar,0,0,0,0,252805.1537,3937432096,1
Región de Arica y Parinacota,Arica,Arica,341130.0364,1,1,1510,345655.1732,4823971741,1
Región de Arica y Parinacota,Arica,Camarones,382307.0081,1,1,1510,382307.0078,3623946945,1
Región de Arica y Parinacota,Parinacota,General Lagos,246736.5453,1,1,1520,242587.5915,2283352218,1
Región de Arica y Parinacota,Parinacota,Putre,400296.6609,1,1,1520,400296.6613,5888015524,1
Región de Valparaíso,Los Andes,Los Andes,230749.951,11,5,5301,230667.8643,1252608996,1
Región de Valparaíso,Los Andes,Rinconada,58129.14081,11,5,5303,58129.14089,122968654.1,1
Región de Valparaíso,Los Andes,San Esteban,184009.7896,11,5,5304,184009.7895,1376924920,1
Región de Valparaíso,Petorca,Cabildo,253313.8876,10,5,5402,253313.8875,1454361572,1
Región de Valparaíso,Petorca,La Ligua,227905.7095,10,5,5401,227905.7098,1169605262,1
Región de Valparaíso,Petorca,Papudo,70324.36025,10,5,5403,70324.36046,166372880.5,1
Región de Valparaíso,Petorca,Petorca,218622.4963,10,5,5404,218622.4966,1516977180,1
Región de Valparaíso,Petorca,Zapallar,101487.8606,10,5,5405,101487.8612,289050324.9,1
Región de Valparaíso,Quillota,Hijuelas,89282.93357,10,5,5503,89282.93355,267992974.1,1
