NombreComuna,centralNombre,Potencia,UTM_este,UTM_oeste,NOM_REG,NOM_PROV,COD_COM,NOM_COM,COD_REGI,SUPERFICIE,POBLAC02,POBL2010,SHAPE_Leng,SHAPE_Area
Tiltil,Solar Til Til,3.00000,329810.01000,6353647.31000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Copiap�,Solar Piloto Solar Cardones,0.43760,363175.04000,6958793.70000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Tiltil,,92.73000,326510.00000,6338085.00000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Illapel,Solar Bellavista,3.00000,289378.00000,6494513.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Petorca,Solar Santa Julia,3.00000,302057.00000,6424179.00000,Región de Valparaíso,Los Andes,"05304",San Esteban,5.00000000000,16396.10000000000,"1539852","1759167",1045288.27483999997,16007244207.00000000000
Calama,Andes Solar,21.79500,542260.14000,7344264.59000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Arica,Pampa Camarones,6.24000,382572.00000,7911302.00000,Región de Arica y Parinacota,Parinacota,"01301",Putre,15.00000000000,14628.90000000000,"188465","183712",682884.59564499999,16619989477.50000000000
Arica,El Aguila,2.04500,406405.42000,7960148.78000,Región de Arica y Parinacota,Parinacota,"01301",Putre,15.00000000000,14628.90000000000,"188465","183712",682884.59564499999,16619989477.50000000000
Mar�a Elena,Maria Elena FV,68.00000,441564.10000,7542376.01000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Mar�a Elena,Finis Terrae,138.00000,445661.14000,7530254.47000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Calama,Solar Jama,52.65000,530513.82000,7503344.84000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Pozo Almonte,Pozo Almonte Solar 2,7.51600,421068.27000,7758263.55000,Región de Tarapacá,Iquique,"01101",Iquique,1.00000000000,59099.10000000000,"428594","683203",1118269.85920000006,42548579682.69999694824
Pozo Almonte,Pozo Almonte Solar 3,16.03800,422096.16000,7760606.20000,Región de Tarapacá,Iquique,"01101",Iquique,1.00000000000,59099.10000000000,"428594","683203",1118269.85920000006,42548579682.69999694824
